Name,Abbreviation,Date,Location,Description,Total,Forms
Shakespeare Festival St. Louis,SFSL,5/31/2019,Forest Park,Collected from 5:30-7:30 pm,40,"SFSL1,SFSL2,SFSL3,SFSL4,SFSL5,SFSL6,SFSL7,SFSL8,SFSL9,SFSL10,SFSL11,SFSL12,SFSL13,SFSL14,SFSL15,SFSL16,SFSL17,SFSL18,SFSL19,SFSL20,SFSL21,SFSL22,SFSL23,SFSL24,SFSL25,SFSL26,SFSL27,SFSL28,SFSL29,SFSL30,SFSL31,SFSL32,SFSL33,SFSL34,SFSL35,SFSL36,SFSL37,SFSL38,SFSL39,SFSL40,SFSL41,SFSLB18"
Shakespeare Festival St. Louis B,SFSLB,6/18/2019,Forest Park,Collected from 5:30-7:30 pm,19,"SFSLB1,SFSLB2,SFSLB3,SFSLB4,SFSLB5,SFSLB6,SFSLB7,SFSLB8,SFSLB9,SFSLB10,SFSLB11,SFSLB12,SFSLB13,SFSLB14,SFSLB15,SFSLB16,SFSLB17,SFSLB19"
St. Louis Community College Florissant Valley ,CCFV,7/16/2019,St. Louis Community College Florissant Valley,,7,"CCFV1,CCFV2,CCFV3,CCFV5,CCFV6,CCFV7"
St. Louis Public Library,SLPLB,8/3/2019,St. Louis Public Library,Brews and Bees Event,11,
St. Louis Public Library (A),SLPLA,7/23/2019,St. Louis Public Library,The Sweet Taste of Success,6,"SLPLA1`,SLPLA2,SLPLA3,SLPLA4,SLPLA5,SLPLA6"
St. Louis Public Library (B),SLPLB,8/3/2019,St. Louis Public Library ,,11,"SLPLB,SLPLB2,SLPLB3,SLPLB4,SLPLB5,SLPLB6,SLPLB7,SLPLB8,SLPLB9,SLPLB10,SLPLB11"
St. Louis Public Library (C),SLPLC,8/17/2019,St. Louis Public Library ,Small Press Expo,22,"SLPLC1,SLPLC2,SLPLC3,SLPLC4,SLPLC5,SLPLC6,SLPLC7,SLPLC8,SLPLC9,SLPLC10,SLPLC11,SLPLC12,SLPLC13,SLPLC14,SLPLC15,SLPLC16,SLPLC17,SLPLC18,SLPLC19,SLPLC20,SLPLC21,SLPLC22"
The Ville Block Party,TVBP,8/10/2019,The Ville,,16,"TVBP1,TVBP2,TVBP3,TVBP4,TVBP5,TVBP6,TVBP7,TVBP8,TVBP9,TVBP10,TVBP11,TVBP12,TVBP13,TVBP14,TVBP15,TVBP16"
Tower Grove East Neighborhood Association Meeting,TGEM,6/25/2019,Tower Grove Abbey,Neighborhood Meeting,7,"TGEM1,TGEM2,TGEM3,TGEM4,TGEM5,TGEM6,TGEM7"
Tower Grove Farmers Market,TGFM,6/8/2019,Tower Grove Park,Weekly farmers market,11,"TGFM1,TGFM2,TGFM3,TGFM4,TGFM5,TGFM6,TGFM7,TGFM8,TGFM9,TGFM10,TGFM11"
Tower Grove Pride Fest,,6/29/2019,Tower Grove Park,Tower Grove Pride Fest,37,"TGPF1,TGPF2,TGPF3,TGPF4,TGPF5,TGPF6,TGPF7,TGPF8,TGPF9,TGPF10,TGPF11,TGPF12,TGPF13,TGPF14,TGPF15,TGPF16,TGPF17,TGPF18,TGPF19,TGPF20,TGPF21,TGPF22,TGPF23,TGPF24,TGPF25,TGPF26,TGPF27,TGPF28,TGPF29,TGPF30,TGPF31,TGPF32,TGPF33,TGPF34,TGPF35,TGPF36,TGPF37"
Training,TRNG,5/23/2019,Pulitzer Arts Foundation,Training and conversation day,7,"TRNG1,TRNG2,TRNG3,TRNG4,TRNG5,TRNG6,TRNG7"
UrbArts Summer Camp,UASC,6/24/2019,UrbArts,Summer camp at UrbArts,10,"UASC1,UASC2,USAC3,USAC4,USAC6,USAC5,USAC7,USAC8,USAC9,USAC10"
Whitaker Urban Evening Concert,WUEC,6/27/2019,St. Louis Place Park,Whitaker Urban Evening Concert Series,20,"WUEC1,WUEC2,WUEC3,WUEC4,WUEC5,WUEC6,WUEC7,WUEC8,WUEC9,WUEC10,WUEC11,WUEC12,WUEC13,WUEC14,WUEC15,WUEC16,WUEC17,WUEC18,WUEC19,WUEC20,WUECC1,WUECC2,WUECC3,WUECC4,WUECC5,WUECC6,WUECC7"
Whitaker Urban Evening Concert Series (B),WUECB,7/11/2019,St. Louis Place Park,Whitaker Urban Evening Concert Series,14,"WUECB1,WUECB2,WUECB3,WUECB4,WUECB5,WUECB6,WUECB7,WUECB8,WUECB9,WUECB10,WUECB11,WUECB12,WUECB13,WUECB14"
Wohl Community Rec Center,WCRC,7/15/2019,Wohl Community Rec Center,,,"WCRC1,WCRC2,WCRC3,WCRC4,WCRC5,WCRC6,WCRC7,WCRC8,WCRC9,WCRC10,WCRC11,WCRC12,WCRC13,WCRC14,WCRC15,WCRC16,WCRC17,WCRC18,WCRC19,WCRC20"
